dataset,n,M,metodo,tiempo
max-cant,40,430,BT,41.9837
max-cant,41,451,PD,0.214394
max-cant,41,451,BT,66.8395
max-cant,42,473,PD,0.236167
max-cant,42,473,BT,52.1238
max-cant,43,495,PD,0.227279
max-cant,43,495,BT,225.516
max-cant,44,517,PD,0.267853
max-cant,44,517,BT,140.315
max-cant,45,540,PD,0.295666
max-cant,45,540,BT,182.058
max-cant,46,564,PD,0.276843
max-cant,46,564,BT,474.649
max-cant,47,588,PD,0.278396
max-cant,47,588,BT,479.278
max-cant,48,612,PD,0.30371
max-cant,48,612,BT,1774.87
max-cant,49,637,PD,0.329968
max-cant,49,637,BT,977.625
max-cant,50,663,PD,0.542471
max-cant,50,663,BT,2573.2
max-cant,51,689,PD,0.496374
max-cant,51,689,BT,11564.1
max-cant,52,715,PD,0.401282
max-cant,52,715,BT,5678.35
max-cant,53,742,PD,0.457196
max-cant,53,742,BT,4582.92
max-cant,54,770,PD,0.491143
max-cant,54,770,BT,13464.5
max-cant,55,798,PD,0.605053
max-cant,55,798,BT,26995.1
max-cant,56,826,PD,0.574055
max-cant,56,826,BT,19296.4
max-cant,57,855,PD,0.591341
max-cant,57,855,BT,7469.93
min-cant,0,0,PD,0.002087
min-cant,0,0,BT,0.001468
min-cant,1,1,PD,0.002048
min-cant,1,1,BT,0.001761
min-cant,2,1,PD,0.002547
min-cant,2,1,BT,0.001377
min-cant,3,2,PD,0.002607
min-cant,3,2,BT,0.001554
min-cant,4,2,PD,0.002222
min-cant,4,2,BT,0.001523
min-cant,5,3,PD,0.002403
min-cant,5,3,BT,0.001812
min-cant,6,3,PD,0.002843
min-cant,6,3,BT,0.001896
min-cant,7,4,PD,0.00228
min-cant,7,4,BT,0.002085
min-cant,8,4,PD,0.002863
min-cant,8,4,BT,0.001802
min-cant,9,5,PD,0.003745
min-cant,9,5,BT,0.002452
min-cant,10,5,PD,0.002966
min-cant,10,5,BT,0.002778
min-cant,11,6,PD,0.004613
min-cant,11,6,BT,0.002873
min-cant,12,6,PD,0.003408
min-cant,12,6,BT,0.002259
min-cant,13,7,PD,0.00439
min-cant,13,7,BT,0.003625
min-cant,14,7,PD,0.004613
min-cant,14,7,BT,0.004048
min-cant,15,8,PD,0.004299
min-cant,15,8,BT,0.004619
min-cant,16,8,PD,0.004491
min-cant,16,8,BT,0.003857
min-cant,17,9,PD,0.004891
min-cant,17,9,BT,0.003635
min-cant,18,9,PD,0.00419
min-cant,18,9,BT,0.003239
min-cant,19,10,PD,0.005482
min-cant,19,10,BT,0.00338
min-cant,20,10,PD,0.005687
min-cant,20,10,BT,0.006659
min-cant,21,11,PD,0.006167
min-cant,21,11,BT,0.006231
min-cant,22,11,PD,0.005923
min-cant,22,11,BT,0.008867
min-cant,23,12,PD,0.007436
min-cant,23,12,BT,0.005694
min-cant,24,12,PD,0.005305
min-cant,24,12,BT,0.006195
min-cant,25,13,PD,0.008161
min-cant,25,13,BT,0.007643
min-cant,26,13,PD,0.006866
min-cant,26,13,BT,0.009789
min-cant,27,14,PD,0.007706
min-cant,27,14,BT,0.006099
min-cant,28,14,PD,0.00851
min-cant,28,14,BT,0.010826
min-cant,29,15,PD,0.007872
min-cant,29,15,BT,0.011085
min-cant,30,15,PD,0.007948
min-cant,30,15,BT,0.012734
min-cant,31,16,PD,0.011563
min-cant,31,16,BT,0.012099
min-cant,32,16,PD,0.010581
min-cant,32,16,BT,0.013478
min-cant,33,17,PD,0.009287
min-cant,33,17,BT,0.020835
min-cant,34,17,PD,0.009653
min-cant,34,17,BT,0.016661
min-cant,35,18,PD,0.012703
min-cant,35,18,BT,0.020428
min-cant,36,18,PD,0.011304
min-cant,36,18,BT,0.03169
min-cant,37,19,PD,0.012931
min-cant,37,19,BT,0.021923
min-cant,38,19,PD,0.010609
min-cant,38,19,BT,0.033722
min-cant,39,20,PD,0.015754
min-cant,39,20,BT,0.02091
min-cant,40,20,PD,0.0101
min-cant,40,20,BT,0.021891
min-cant,41,21,PD,0.014272
min-cant,41,21,BT,0.054338
min-cant,42,21,PD,0.017103
min-cant,42,21,BT,0.034261
min-cant,43,22,PD,0.012986
min-cant,43,22,BT,0.028701
min-cant,44,22,PD,0.020583
min-cant,44,22,BT,0.03689
min-cant,45,23,PD,0.01755
min-cant,45,23,BT,0.051896
min-cant,46,23,PD,0.017337
min-cant,46,23,BT,0.065065
min-cant,47,24,PD,0.017778
min-cant,47,24,BT,0.062376
min-cant,48,24,PD,0.01462
min-cant,48,24,BT,0.138849
min-cant,49,25,PD,0.022284
min-cant,49,25,BT,0.096366
min-cant,50,25,PD,0.017593
min-cant,50,25,BT,0.049185
min-cant,51,26,PD,0.02454
min-cant,51,26,BT,0.116641
min-cant,52,26,PD,0.022716
min-cant,52,26,BT,0.069225
min-cant,53,27,PD,0.023331
min-cant,53,27,BT,0.163429
min-cant,54,27,PD,0.023545
min-cant,54,27,BT,0.121704
min-cant,55,28,PD,0.026297
min-cant,55,28,BT,0.183307
min-cant,56,28,PD,0.024342
min-cant,56,28,BT,0.209781
min-cant,57,29,PD,0.025555
min-cant,57,29,BT,0.206582
min-cant,58,29,PD,0.024088
min-cant,58,29,BT,0.097291
min-cant,59,30,PD,0.026686
min-cant,59,30,BT,0.163137
min-cant,60,30,PD,0.025114
min-cant,60,30,BT,0.300557
min-cant,61,31,PD,0.031284
min-cant,61,31,BT,0.196562
min-cant,62,31,PD,0.027056
min-cant,62,31,BT,0.338733
min-cant,63,32,PD,0.034961
min-cant,63,32,BT,0.244987
min-cant,64,32,PD,0.021767
min-cant,64,32,BT,0.26532
min-cant,65,33,PD,0.0363
min-cant,65,33,BT,0.203476
min-cant,66,33,PD,0.035419
min-cant,66,33,BT,0.250684
min-cant,67,34,PD,0.039715
min-cant,67,34,BT,0.376331
min-cant,68,34,PD,0.032854
min-cant,68,34,BT,0.458002
min-cant,69,35,PD,0.037081
min-cant,69,35,BT,0.335194
min-cant,70,35,PD,0.031512
min-cant,70,35,BT,0.29454
min-cant,71,36,PD,0.030134
min-cant,71,36,BT,0.463939
min-cant,72,36,PD,0.040602
min-cant,72,36,BT,0.688851
min-cant,73,37,PD,0.039103
min-cant,73,37,BT,0.605466
min-cant,74,37,PD,0.030956
min-cant,74,37,BT,0.911078
min-cant,75,38,PD,0.032089
min-cant,75,38,BT,1.3335
min-cant,76,38,PD,0.033914
min-cant,76,38,BT,0.548397
min-cant,77,39,PD,0.044224
min-cant,77,39,BT,0.694175
min-cant,78,39,PD,0.033468
min-cant,78,39,BT,0.918438
min-cant,79,40,PD,0.040618
min-cant,79,40,BT,1.01688
min-cant,80,40,PD,0.04325
min-cant,80,40,BT,0.83883
min-cant,81,41,PD,0.047468
min-cant,81,41,BT,0.983968
min-cant,82,41,PD,0.04995
min-cant,82,41,BT,1.32022
min-cant,83,42,PD,0.035314
min-cant,83,42,BT,1.15144
min-cant,84,42,PD,0.049188
min-cant,84,42,BT,1.35779
min-cant,85,43,PD,0.042217
min-cant,85,43,BT,0.863083
min-cant,86,43,PD,0.041462
min-cant,86,43,BT,1.00117
min-cant,87,44,PD,0.065149
min-cant,87,44,BT,1.58482
min-cant,88,44,PD,0.046891
min-cant,88,44,BT,1.50756
min-cant,89,45,PD,0.053741
min-cant,89,45,BT,2.61891
min-cant,90,45,PD,0.048399
min-cant,90,45,BT,1.63251
min-cant,91,46,PD,0.054048
min-cant,91,46,BT,3.78504
min-cant,92,46,PD,0.047475
min-cant,92,46,BT,1.92185
min-cant,93,47,PD,0.053958
min-cant,93,47,BT,4.3681
min-cant,94,47,PD,0.051388
min-cant,94,47,BT,1.67488
min-cant,95,48,PD,0.061213
min-cant,95,48,BT,4.09338
min-cant,96,48,PD,0.085972
min-cant,96,48,BT,1.57606
min-cant,97,49,PD,0.062945
min-cant,97,49,BT,3.39363
min-cant,98,49,PD,0.057957
min-cant,98,49,BT,4.33183
min-cant,99,50,PD,0.06612
min-cant,99,50,BT,3.8921
min-cant,100,50,PD,0.062264
min-cant,100,50,BT,3.60665
min-cant,101,51,PD,0.082475
min-cant,101,51,BT,2.04117
min-cant,102,51,PD,0.063014
min-cant,102,51,BT,3.9802
min-cant,103,52,PD,0.075676
min-cant,103,52,BT,5.69038
min-cant,104,52,PD,0.068592
min-cant,104,52,BT,3.85285
min-cant,105,53,PD,0.061884
min-cant,105,53,BT,4.93128
min-cant,106,53,PD,0.060419
min-cant,106,53,BT,4.22393
min-cant,107,54,PD,0.071513
min-cant,107,54,BT,9.4238
min-cant,108,54,PD,0.072953
min-cant,108,54,BT,7.1398
min-cant,109,55,PD,0.081473
min-cant,109,55,BT,9.15531
min-cant,110,55,PD,0.072367
min-cant,110,55,BT,8.48866
min-cant,111,56,PD,0.076616
min-cant,111,56,BT,8.56273
min-cant,112,56,PD,0.075079
min-cant,112,56,BT,6.7831
min-cant,113,57,PD,0.073647
min-cant,113,57,BT,9.16286
min-cant,114,57,PD,0.078918
min-cant,114,57,BT,6.26647
min-cant,115,58,PD,0.078115
min-cant,115,58,BT,16.5395
min-cant,116,58,PD,0.073892
min-cant,116,58,BT,9.5725
min-cant,117,59,PD,0.083433
min-cant,117,59,BT,22.0063
min-cant,118,59,PD,0.074397
min-cant,118,59,BT,14.4923
min-cant,119,60,PD,0.079094
min-cant,119,60,BT,9.55063
min-cant,120,60,PD,0.091139
min-cant,120,60,BT,11.9651
min-cant,121,61,PD,0.09662
min-cant,121,61,BT,22.9255
min-cant,122,61,PD,0.090249
min-cant,122,61,BT,17.251
min-cant,123,62,PD,0.081002
min-cant,123,62,BT,19.9073
min-cant,124,62,PD,0.101642
min-cant,124,62,BT,6.17419
min-cant,125,63,PD,0.103698
min-cant,125,63,BT,33.8622
min-cant,126,63,PD,0.089934
min-cant,126,63,BT,18.6828
min-cant,127,64,PD,0.101395
min-cant,127,64,BT,21.9767
min-cant,128,64,PD,0.089894
min-cant,128,64,BT,14.8858
min-cant,129,65,PD,0.09503
min-cant,129,65,BT,18.6597
min-cant,130,65,PD,0.081793
min-cant,130,65,BT,11.5279
min-cant,131,66,PD,0.086379
min-cant,131,66,BT,43.4484
min-cant,132,66,PD,0.085271
min-cant,132,66,BT,32.5582
min-cant,133,67,PD,0.10285
min-cant,133,67,BT,36.6015
min-cant,134,67,PD,0.088402
min-cant,134,67,BT,44.9115
min-cant,135,68,PD,0.107212
min-cant,135,68,BT,57.0672
min-cant,136,68,PD,0.092625
min-cant,136,68,BT,34.8078
min-cant,137,69,PD,0.118937
min-cant,137,69,BT,41.6404
min-cant,138,69,PD,0.10843
min-cant,138,69,BT,28.0292
min-cant,139,70,PD,0.113625
min-cant,139,70,BT,38.9764
min-cant,140,70,PD,0.09658
min-cant,140,70,BT,26.0001
min-cant,141,71,PD,0.108501
min-cant,141,71,BT,52.3554
min-cant,142,71,PD,0.098052
min-cant,142,71,BT,56.2289
min-cant,143,72,PD,0.123266
min-cant,143,72,BT,45.0116
min-cant,144,72,PD,0.105674
min-cant,144,72,BT,48.3638
min-cant,145,73,PD,0.105326
min-cant,145,73,BT,75.6777
min-cant,146,73,PD,0.120982
min-cant,146,73,BT,15.2128
min-cant,147,74,PD,0.104034
min-cant,147,74,BT,73.598
min-cant,148,74,PD,0.108256
min-cant,148,74,BT,53.984
min-cant,149,75,PD,0.112712
min-cant,149,75,BT,45.2363
min-cant,150,75,PD,0.127011
min-cant,150,75,BT,80.4907
min-cant,151,76,PD,0.127255
min-cant,151,76,BT,40.9031
min-cant,152,76,PD,0.130078
min-cant,152,76,BT,107.308
min-cant,153,77,PD,0.109932
min-cant,153,77,BT,154.135
min-cant,154,77,PD,0.152295
min-cant,154,77,BT,137.767
min-cant,155,78,PD,0.146698
min-cant,155,78,BT,71.2487
min-cant,156,78,PD,0.13753
min-cant,156,78,BT,115.229
min-cant,157,79,PD,0.122604
min-cant,157,79,BT,107.353
min-cant,158,79,PD,0.16187
min-cant,158,79,BT,41.5297
min-cant,159,80,PD,0.140304
min-cant,159,80,BT,177.964
min-cant,160,80,PD,0.123762
min-cant,160,80,BT,164.484
min-cant,161,81,PD,0.157589
min-cant,161,81,BT,141.311
min-cant,162,81,PD,0.159905
min-cant,162,81,BT,135.497
min-cant,163,82,PD,0.156909
min-cant,163,82,BT,153.635
min-cant,164,82,PD,0.136833
min-cant,164,82,BT,97.4778
min-cant,165,83,PD,0.148572
min-cant,165,83,BT,202.755
min-cant,166,83,PD,0.150944
min-cant,166,83,BT,189.638
min-cant,167,84,PD,0.14944
min-cant,167,84,BT,110.633
min-cant,168,84,PD,0.183775
min-cant,168,84,BT,133.148
min-cant,169,85,PD,0.178112
min-cant,169,85,BT,371.316
min-cant,170,85,PD,0.177902
min-cant,170,85,BT,289.733
min-cant,171,86,PD,0.219677
min-cant,171,86,BT,327.548
min-cant,172,86,PD,0.195287
min-cant,172,86,BT,224.817
min-cant,173,87,PD,0.179597
min-cant,173,87,BT,218.635
min-cant,174,87,PD,0.248914
min-cant,174,87,BT,130.87
min-cant,175,88,PD,0.193163
min-cant,175,88,BT,325.854
min-cant,176,88,PD,0.181843
min-cant,176,88,BT,303.439
min-cant,177,89,PD,0.19443
min-cant,177,89,BT,822.342
min-cant,178,89,PD,0.252218
min-cant,178,89,BT,498.389
min-cant,179,90,PD,0.172563
min-cant,179,90,BT,297.945
min-cant,180,90,PD,0.204374
min-cant,180,90,BT,470.134
min-cant,181,91,PD,0.195919
min-cant,181,91,BT,682.449
min-cant,182,91,PD,0.192126
min-cant,182,91,BT,521.549
min-cant,183,92,PD,0.220504
min-cant,183,92,BT,382.009
min-cant,184,92,PD,0.189654
min-cant,184,92,BT,768.961
min-cant,185,93,PD,0.209607
min-cant,185,93,BT,225.521
min-cant,186,93,PD,0.208015
min-cant,186,93,BT,509.452
min-cant,187,94,PD,0.203641
min-cant,187,94,BT,430.988
min-cant,188,94,PD,0.21972
min-cant,188,94,BT,366.933
min-cant,189,95,PD,0.209041
min-cant,189,95,BT,737.666
min-cant,190,95,PD,0.21155
min-cant,190,95,BT,516.026
min-cant,191,96,PD,0.189378
min-cant,191,96,BT,778.369
min-cant,192,96,PD,0.189104
min-cant,192,96,BT,661.185
min-cant,193,97,PD,0.231318
min-cant,193,97,BT,513.258
min-cant,194,97,PD,0.241487
min-cant,194,97,BT,1431.93
min-cant,195,98,PD,0.27149
min-cant,195,98,BT,1113.1
min-cant,196,98,PD,0.233112
min-cant,196,98,BT,1252.39
min-cant,197,99,PD,0.212521
min-cant,197,99,BT,500.506
min-cant,198,99,PD,0.207459
min-cant,198,99,BT,433.823
min-cant,199,100,PD,0.220023
min-cant,199,100,BT,733.947
