dataset,n,M,metodo,tiempo
peor-caso-bt,40,41,BT,32.9076
peor-caso-bt,41,42,BT,69.8442
peor-caso-bt,42,43,BT,75.0322
peor-caso-bt,43,44,BT,114.608
peor-caso-bt,44,45,BT,138.291
peor-caso-bt,45,46,BT,289.499
peor-caso-bt,46,47,BT,267.435
peor-caso-bt,47,48,BT,523.872
peor-caso-bt,48,49,BT,517.686
peor-caso-bt,49,50,BT,1103.08
peor-caso-bt,50,51,BT,1139.14
peor-caso-bt,51,52,BT,2113.73
peor-caso-bt,52,53,BT,2284.79
peor-caso-bt,53,54,BT,4121.15
peor-caso-bt,54,55,BT,4971.92
peor-caso-bt,55,56,BT,8302.78
peor-caso-bt,56,57,BT,9094.69
peor-caso-bt,57,58,BT,19227.0
peor-caso-bt,58,59,BT,19071.5
peor-caso-bt,59,60,BT,30831.7
max-cant,0,1,BT,0.001436
max-cant,0,1,BT-F,0.001607
max-cant,0,1,BT-O,0.001615
max-cant,1,1,BT,0.001534
max-cant,1,1,BT-F,0.001519
max-cant,1,1,BT-O,0.002245
max-cant,2,3,BT,0.001912
max-cant,2,3,BT-F,0.001752
max-cant,2,3,BT-O,0.001627
max-cant,3,5,BT,0.002063
max-cant,3,5,BT-F,0.001525
max-cant,3,5,BT-O,0.002296
max-cant,4,7,BT,0.001653
max-cant,4,7,BT-F,0.001607
max-cant,4,7,BT-O,0.001763
max-cant,5,10,BT,0.001926
max-cant,5,10,BT-F,0.002165
max-cant,5,10,BT-O,0.002274
max-cant,6,14,BT,0.001916
max-cant,6,14,BT-F,0.002021
max-cant,6,14,BT-O,0.002009
max-cant,7,18,BT,0.00241
max-cant,7,18,BT-F,0.002678
max-cant,7,18,BT-O,0.002663
max-cant,8,22,BT,0.002699
max-cant,8,22,BT-F,0.001997
max-cant,8,22,BT-O,0.002283
max-cant,9,27,BT,0.002601
max-cant,9,27,BT-F,0.002657
max-cant,9,27,BT-O,0.002736
max-cant,10,33,BT,0.00333
max-cant,10,33,BT-F,0.002581
max-cant,10,33,BT-O,0.003769
max-cant,11,39,BT,0.004111
max-cant,11,39,BT-F,0.00356
max-cant,11,39,BT-O,0.004016
max-cant,12,45,BT,0.005616
max-cant,12,45,BT-F,0.005485
max-cant,12,45,BT-O,0.004495
max-cant,13,52,BT,0.005425
max-cant,13,52,BT-F,0.006984
max-cant,13,52,BT-O,0.005427
max-cant,14,60,BT,0.007602
max-cant,14,60,BT-F,0.010736
max-cant,14,60,BT-O,0.008186
max-cant,15,68,BT,0.011159
max-cant,15,68,BT-F,0.012761
max-cant,15,68,BT-O,0.010092
max-cant,16,76,BT,0.010032
max-cant,16,76,BT-F,0.022713
max-cant,16,76,BT-O,0.01202
max-cant,17,85,BT,0.010142
max-cant,17,85,BT-F,0.042007
max-cant,17,85,BT-O,0.011109
max-cant,18,95,BT,0.021435
max-cant,18,95,BT-F,0.060241
max-cant,18,95,BT-O,0.026511
max-cant,19,105,BT,0.036848
max-cant,19,105,BT-F,0.088281
max-cant,19,105,BT-O,0.032972
max-cant,20,115,BT,0.038191
max-cant,20,115,BT-F,0.129818
max-cant,20,115,BT-O,0.038224
max-cant,21,126,BT,0.050737
max-cant,21,126,BT-F,0.239411
max-cant,21,126,BT-O,0.057728
max-cant,22,138,BT,0.067566
max-cant,22,138,BT-F,0.359523
max-cant,22,138,BT-O,0.087565
max-cant,23,150,BT,0.106813
max-cant,23,150,BT-F,0.663656
